targetSide	oriIncrement	correct
1	20.000	1
-1	12.000	1
1	4.000	1
1	0.000	1
-1	0.000	1
-1	0.000	1
-1	0.000	0
1	4.000	0
1	8.000	1
1	8.000	1
-1	8.000	0
-1	12.000	0
-1	16.000	1
1	16.000	1
1	16.000	1
1	12.000	0
1	14.000	0
1	16.000	1
-1	16.000	1
-1	16.000	0
1	18.000	1
-1	18.000	1
-1	18.000	1
1	16.000	1
-1	16.000	0
-1	17.000	1
1	17.000	0
1	18.000	0
1	19.000	1
1	19.000	0
1	20.000	1
1	20.000	1
1	20.000	0
1	21.000	0
1	22.000	1
-1	22.000	1
-1	22.000	1
-1	21.000	0
-1	22.000	0
-1	23.000	1
1	23.000	0
-1	24.000	0
-1	25.000	1
-1	25.000	0
-1	26.000	0
-1	27.000	1
-1	27.000	0
-1	28.000	0
-1	29.000	0
-1	30.000	0
-1	31.000	0
1	32.000	1
-1	32.000	1
1	32.000	1
-1	31.000	0
-1	32.000	0
1	33.000	0
-1	34.000	1
1	34.000	1
1	34.000	0
-1	35.000	1
1	35.000	0
1	36.000	1
1	36.000	1
1	36.000	0
1	37.000	0
-1	38.000	1
1	38.000	1
1	38.000	1
1	37.000	0
-1	38.000	0
-1	39.000	1
1	39.000	0
-1	40.000	1
1	40.000	1
-1	40.000	1
-1	39.000	1
-1	39.000	1
-1	39.000	0
1	40.000	0
1	41.000	0
-1	42.000	0
-1	43.000	1
1	43.000	1
-1	43.000	1
1	42.000	1
-1	42.000	1
-1	42.000	1
1	41.000	1
-1	41.000	0
-1	42.000	1
1	42.000	1
-1	42.000	1
-1	41.000	0
1	42.000	1
-1	42.000	1
-1	42.000	1
-1	41.000	1
-1	41.000	0
-1	42.000	0
-1	43.000	1
-1	43.000	1
-1	43.000	1
-1	42.000	0
1	43.000	1
-1	43.000	1
-1	43.000	0
1	44.000	1
-1	44.000	1
-1	44.000	1
1	43.000	0
1	44.000	1
1	44.000	1
-1	44.000	0
1	45.000	1
-1	45.000	1
1	45.000	1
1	44.000	1
1	44.000	0
1	45.000	1
1	45.000	0
-1	46.000	0
1	47.000	1
-1	47.000	1
1	47.000	1
-1	46.000	1
1	46.000	1
-1	46.000	1
-1	45.000	1
1	45.000	1
1	45.000	1
1	44.000	1
1	44.000	1
-1	44.000	1
1	43.000	1
-1	43.000	0
1	44.000	1
-1	44.000	0
1	45.000	1
-1	45.000	1
1	45.000	1
-1	44.000	1
1	44.000	1
1	44.000	0
-1	45.000	0
-1	46.000	1
-1	46.000	1
1	46.000	0
1	47.000	1
1	47.000	1
1	47.000	1
-1	46.000	1
-1	46.000	1
1	46.000	1
-1	45.000	0
-1	46.000	1
1	46.000	1
1	46.000	0
1	47.000	1
1	47.000	1
1	47.000	1
1	46.000	1
-1	46.000	1
1	46.000	1
-1	45.000	1
1	45.000	1
-1	45.000	1
-1	44.000	1
1	44.000	1
1	44.000	1
-1	43.000	1
1	43.000	1
-1	43.000	1
-1	42.000	1
1	42.000	1
-1	42.000	1
1	41.000	0
1	42.000	1
1	42.000	0
1	43.000	1
-1	43.000	1
1	43.000	1
-1	42.000	1
1	42.000	1
-1	42.000	1
-1	41.000	0
-1	42.000	1
1	42.000	0
-1	43.000	1
-1	43.000	1
-1	43.000	0
1	44.000	1
1	44.000	1
-1	44.000	1
-1	43.000	1
-1	43.000	0
1	44.000	1
1	44.000	1
-1	44.000	1
1	43.000	0
1	44.000	1
-1	44.000	1
-1	44.000	0
1	45.000	1
-1	45.000	1
-1	45.000	1
1	44.000	1
1	44.000	1
-1	44.000	1
1	43.000	1
-1	43.000	1
-1	43.000	1
-1	42.000	1
-1	42.000	1
1	42.000	1
1	41.000	1
1	41.000	1
1	41.000	1
1	40.000	1
-1	40.000	1
-1	40.000	1
-1	39.000	1
-1	39.000	1
-1	39.000	0
-1	40.000	1
-1	40.000	1
-1	40.000	0
-1	41.000	1
1	41.000	1
1	41.000	1
-1	40.000	1
-1	40.000	0
-1	41.000	1
1	41.000	1
-1	41.000	1
-1	40.000	1
-1	40.000	1
1	40.000	1
-1	39.000	0
1	40.000	1
-1	40.000	0
1	41.000	1
-1	41.000	1
1	41.000	1
1	40.000	1
-1	40.000	1
1	40.000	1
1	39.000	0
-1	40.000	1
-1	40.000	1
1	40.000	1
1	39.000	0
-1	40.000	1
-1	40.000	1
-1	40.000	1
1	39.000	0
-1	40.000	1
-1	40.000	1
-1	40.000	1
-1	39.000	1
1	39.000	1
-1	39.000	0
-1	40.000	1
1	40.000	1
1	40.000	1
1	39.000	0
1	40.000	1
1	40.000	1
-1	40.000	0
1	41.000	1
-1	41.000	1
1	41.000	1
1	40.000	1
1	40.000	0
-1	41.000	0
1	42.000	0
-1	43.000	0
-1	44.000	1
-1	44.000	1
-1	44.000	1
1	43.000	0
1	44.000	1
-1	44.000	0
1	45.000	0
-1	46.000	1
-1	46.000	1
1	46.000	1
1	45.000	1
1	45.000	1
-1	45.000	1
1	44.000	1
1	44.000	1
-1	44.000	1
1	43.000	1
-1	43.000	1
-1	43.000	1
-1	42.000	1
1	42.000	1
-1	42.000	1
1	41.000	1
-1	41.000	1
-1	41.000	1
1	40.000	1
-1	40.000	1
1	40.000	1
1	39.000	0
1	40.000	0
-1	41.000	1
-1	41.000	1
-1	41.000	1
1	40.000	1
1	40.000	1
1	40.000	1
1	39.000	1
1	39.000	1
1	39.000	1
-1	38.000	1
-1	38.000	1
-1	38.000	1
1	37.000	0
1	38.000	1
1	38.000	1
1	38.000	1
1	37.000	0
1	38.000	1
-1	38.000	1
-1	38.000	1
-1	37.000	1
1	37.000	1
1	37.000	1
-1	36.000	1
1	36.000	0
1	37.000	1
-1	37.000	1
1	37.000	1
1	36.000	1
-1	36.000	0
-1	37.000	0
1	38.000	1
1	38.000	0
1	39.000	1
-1	39.000	1
1	39.000	1
1	38.000	1
-1	38.000	0
1	39.000	0
1	40.000	1
-1	40.000	1
1	40.000	1
1	39.000	1
-1	39.000	1
-1	39.000	1
-1	38.000	1
-1	38.000	0
-1	39.000	0
1	40.000	0
1	41.000	1
-1	41.000	0
1	42.000	1
-1	42.000	1
-1	42.000	1
1	41.000	1
-1	41.000	1
-1	41.000	1
-1	40.000	1
1	40.000	1
1	40.000	0
-1	41.000	0
1	42.000	1
-1	42.000	1
1	42.000	1
-1	41.000	1
-1	41.000	0
-1	42.000	1
1	42.000	0
1	43.000	1
-1	43.000	1
1	43.000	1
-1	42.000	1
1	42.000	1
-1	42.000	1
-1	41.000	1
-1	41.000	0
1	42.000	1
-1	42.000	0
1	43.000	1
1	43.000	0
-1	44.000	0
-1	45.000	1
1	45.000	1
1	45.000	1
-1	44.000	1
1	44.000	1
1	44.000	1
1	43.000	1
1	43.000	1
1	43.000	1
1	42.000	0
-1	43.000	0
-1	44.000	1
-1	44.000	1
-1	44.000	1
1	43.000	1
-1	43.000	0
-1	44.000	0
-1	45.000	0
1	46.000	1
1	46.000	1
-1	46.000	0
-1	47.000	0
1	48.000	1
1	48.000	1
-1	48.000	1
-1	47.000	1
-1	47.000	1
-1	47.000	1
1	46.000	1
-1	46.000	1
1	46.000	1
-1	45.000	0
-1	46.000	1
1	46.000	1
1	46.000	1
-1	45.000	1
1	45.000	1
1	45.000	1
-1	44.000	1
1	44.000	0
-1	45.000	1
1	45.000	0
1	46.000	0
-1	47.000	1
-1	47.000	1
1	47.000	1
-1	46.000	1
-1	46.000	1
-1	46.000	0
1	47.000	1
1	47.000	1
-1	47.000	1
1	46.000	1
-1	46.000	1
-1	46.000	1
1	45.000	1
-1	45.000	1
1	45.000	1
1	44.000	1
1	44.000	1
-1	44.000	1
1	43.000	1
1	43.000	1
-1	43.000	1
-1	42.000	1
1	42.000	1
-1	42.000	0
-1	43.000	1
-1	43.000	0
-1	44.000	1
-1	44.000	1
1	44.000	0
1	45.000	1
1	45.000	1
1	45.000	1
1	44.000	1
-1	44.000	1
1	44.000	1
1	43.000	0
-1	44.000	1
1	44.000	1
1	44.000	0
1	45.000	1
-1	45.000	1
1	45.000	1
-1	44.000	1
-1	44.000	0
-1	45.000	1
-1	45.000	0
-1	46.000	1
-1	46.000	1
-1	46.000	1
-1	45.000	1
-1	45.000	1
-1	45.000	1
-1	44.000	1
1	44.000	1
-1	44.000	1
-1	43.000	1
-1	43.000	1
1	43.000	1
1	42.000	0
-1	43.000	1
1	43.000	1
1	43.000	1
-1	42.000	1
1	42.000	0
-1	43.000	1
-1	43.000	1
-1	43.000	0
1	44.000	1
1	44.000	1
